Project_Name,Project_URL,Project_Hash,frozen_requirements
3scale-api-python,https://github.com/3scale-qe/3scale-api-python,80edea015ba3478a896269c95f048130a653f54a,"astroid==2.12.9
attrs==22.1.0
backoff==2.1.2
certifi==2022.6.15.1
charset-normalizer==2.1.1
coverage==6.4.4
dill==0.3.5.1
flake8==5.0.4
idna==3.3
iniconfig==1.1.1
isort==5.10.1
lazy-object-proxy==1.7.1
mccabe==0.7.0
packaging==21.3
platformdirs==2.5.2
pluggy==1.0.0
py==1.11.0
pycodestyle==2.9.1
pyflakes==2.5.0
pylint==2.15.2
pyparsing==3.0.9
pytest==6.2.5
pytest-cov==2.8.1
python-dotenv==0.21.0
requests==2.28.1
responses==0.21.0
toml==0.10.2
tomli==2.0.1
tomlkit==0.11.4
urllib3==1.26.12
wrapt==1.14.1
"
aactivator,https://github.com/yelp/aactivator,51c9c7770c7d8155b03a1265305957b1439c19dc,"asttokens==2.0.8
attrs==22.1.0
backcall==0.2.0
cfgv==3.3.1
coverage==6.4.4
coverage-enable-subprocess==1.0
decorator==5.1.1
distlib==0.3.6
executing==1.0.0
filelock==3.8.0
identify==2.5.5
iniconfig==1.1.1
ipdb==0.13.9
ipython==8.5.0
jedi==0.18.1
matplotlib-inline==0.1.6
nodeenv==1.7.0
packaging==21.3
parso==0.8.3
pexpect==4.8.0
pickleshare==0.7.5
platformdirs==2.5.2
pluggy==1.0.0
pre-commit==2.20.0
prompt-toolkit==3.0.31
ptyprocess==0.7.0
pure-eval==0.2.2
py==1.11.0
Pygments==2.13.0
pyparsing==3.0.9
pytest==6.2.5
pytest-cov==2.8.1
PyYAML==6.0
six==1.16.0
stack-data==0.5.0
toml==0.10.2
tomli==2.0.1
traitlets==5.4.0
virtualenv==20.16.5
wcwidth==0.2.5
"
aaargh,https://github.com/wbolster/aaargh,fb63414890d1e01158ee0e3bf834e23cc5d68005,"attrs==22.1.0
coverage==6.4.4
iniconfig==1.1.1
packaging==21.3
pluggy==1.0.0
py==1.11.0
pyparsing==3.0.9
pytest==6.2.5
pytest-cov==2.8.1
toml==0.10.2
tomli==2.0.1
"
